"name","short_name","city","region","district","founder","type","coordinates","rosrid_id"
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева»","СибГУ","Красноярск","Красноярский край","Сибирский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[56.011781,92.973871]",10221937
"Федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»","СФУ","Красноярск","Красноярский край","Сибирский","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[56.003829,92.770214]",10231067
"Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»","СПбГЭТУ «ЛЭТИ»","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[59.972902,30.324384]",9824173
"Бюджетное учреждение высшего образования Ханты-Мансийского автономного округа – Югры «Сургутский государственный университет»","СурГУ","Сургут","Ханты-Мансийский автономный округ — Югра","Уральский","Департамент образования и молодежной политики Ханты-Мансийского автономного округа - Югры","Кандидат","[61.239822,73.410891]",9862841
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Театральный институт имени Бориса Щукина при Государственном академическом театре имени Евгения Вахтангова»","ТИ им. Б. Щукина","Москва","Москва","Центральный","Министерство культуры Российской Федерации","Базовая часть","[55.751725,37.590434]",1942489
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Тольяттинский государственный университет»","ТГУ (Тольятти)","Тольятти","Самарская область","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[53.500665,49.397908]",1314579
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный архитектурно-строительный университет»","ТГАСУ","Томск","Томская область","Сибирский","Министерство науки и высшего образования Российской Федерации","Кандидат","[56.496359,84.959111]",9737349
"Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»","ТГУ (Томск)","Томск","Томская область","Сибирский","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[56.469463,84.947568]",9743601
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный университет систем управления и радиоэлектроники»","ТУСУР","Томск","Томская область","Сибирский","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[56.474117,84.949697]",9743785
"Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»","ТПУ","Томск","Томская область","Сибирский","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[56.465390,84.950164]",9724408
