"name","short_name","city","region","district","founder","type","coordinates","rosrid_id"
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Тихоокеанский государственный университет»","ТОГУ","Хабаровск","Хабаровский край","Дальневосточный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[48.530963,135.052414]",9011376
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Удмуртский государственный университет»","УдГУ","Ижевск","Удмуртская республика","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[56.850801,53.225522]",10018863
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский государственный медицинский университет» Министерства здравоохранения Российской Федерации","КГМУ (Казань)","Казань","Республика Татарстан","Приволжский","Министерство здравоохранения Российской Федерации","Кандидат","[55.790777,49.140855]",10014940
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный аграрный университет имени И.Т. Трубилина»","КГАУ","Краснодар","Краснодарский край","Южный","Министерство сельского хозяйства Российской Федерации","Территориальное/отраслевое лидерство","[45.042228,38.922609]",10178176
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный медико-стоматологический университет имени А.И. Евдокимова» Министерства здравоохранения Российской Федерации","МГМСУ","Москва","Москва","Центральный","Министерство здравоохранения Российской Федерации","Базовая часть","[55.776224,37.615758]",2161132
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный психолого-педагогический университет»","МГППУ","Москва","Москва","Центральный","Министерство просвещения Российской Федерации","Кандидат","[55.771915,37.630706]",1369242
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Петербургский государственный университет путей сообщения Императора Александра I»","ПГУПС","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Федеральное агентство железнодорожного транспорта","Базовая часть","[59.924032,30.317189]",9808587
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова» Министерства здравоохранения Российской Федерации","ПСПбГМУ","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Министерство здравоохранения Российской Федерации","Базовая часть","[59.965313,30.321860]",6692621
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный аграрный университет – МСХА имени К.А.Тимирязева»","РГАУ-МСХА","Москва","Москва","Центральный","Министерство сельского хозяйства Российской Федерации","Исследовательское лидерство","[55.833000,37.549794]",2427198
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Самарский государственный медицинский университет» Министерства здравоохранения Российской Федерации","СамГМУ","Самара","Самарская область","Приволжский","Министерство здравоохранения Российской Федерации","Территориальное/отраслевое лидерство","[53.187095,50.094085]",9646452
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный аграрный университет имени Н.И. Вавилова»","СГАУ (Саратов)","Саратов","Саратовская область","Приволжский","Министерство сельского хозяйства Российской Федерации","Базовая часть","[51.532929,46.032002]",9659898
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Северный государственный медицинский университет» Министерства здравоохранения Российской Федерации","СГМУ (Архангельск)","Архангельск","Архангельская область","Северо-Западный","Министерство здравоохранения Российской Федерации","Кандидат","[64.542111,40.514639]",9009553
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный медицинский университет» Министерства здравоохранения Российской Федерации","СГМУ (Смоленск)","Смоленск","Смоленская область","Центральный","Министерство здравоохранения Российской Федерации","Базовая часть","[54.768386,32.060136]",5525732
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный медицинский университет» Министерства здравоохранения Российской Федерации","СибГМУ","Томск","Томская область","Сибирский","Министерство здравоохранения Российской Федерации","Территориальное/отраслевое лидерство","[56.472894,84.949293]",9777589
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Ставропольский государственный аграрный университет»","СГАУ (Ставрополь)","Ставрополь","Ставропольский край","Северо-Кавказский","Министерство сельского хозяйства Российской Федерации","Территориальное/отраслевое лидерство","[45.037700,41.960756]",9022252
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Тюменский государственный медицинский университет» Министерства здравоохранения Российской Федерации","ТГМУ","Тюмень","Тюменская область","Уральский","Министерство здравоохранения Российской Федерации","Базовая часть","[57.137202,65.576171]",1947687
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный медицинский университет» Министерства здравоохранения Российской Федерации","УГМУ","Екатеринбург","Свердловская область","Уральский","Министерство здравоохранения Российской Федерации","Кандидат","[56.832817,60.576436]",6689680
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Юго-Западный государственный университет»","ЮЗГУ","Курск","Курская область","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[51.738142,36.148027]",7857044
"Федеральное государственное автономное образовательное учреждение высшего образования «Южно-Уральский государственный университет (национальный исследовательский университет)»","ЮурГУ","Челябинск","Челябинская область","Уральский","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[55.160519,61.370259]",8811551
"Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»","ЮФУ","Ростов-На-Дону","Ростовская область","Южный","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[47.224771,39.728595]",9601032
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова»","ЮРГПУ","Новочеркасск","Ростовская область","Южный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[47.416614,40.086592]",9626583
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Ярославский государственный университет им. П.Г. Демидова»","ЯрГУ","Ярославль","Ярославская область","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[57.632737,39.887265]",6329645
