site,path,name
https://dekanat.bsu.edu.ru/,blocks/bsu_nabor/nabor.php?kvalif=2&tab=2021&facid=1&edformid=1,НИУ «БелГУ»
https://dekanat.bsu.edu.ru/,blocks/bsu_nabor/nabor.php?kvalif=3&tab=2021&facid=1&edformid=1,НИУ «БелГУ»
https://dekanat.bsu.edu.ru/,blocks/bsu_nabor/nabor.php?kvalif=4&tab=2021&facid=1&edformid=1,НИУ «БелГУ»
https://www.dvfu.ru/,sveden/education/,ДВФУ
https://cfuv.ru/,sveden/education/bakalavriat,КФУ Вернадского
https://cfuv.ru/,sveden/education/magistratura,КФУ Вернадского
https://cfuv.ru/,sveden/education/specialitet,КФУ Вернадского
https://mgimo.ru/,sveden/education/bac.php,МГИМО
https://mgimo.ru/,sveden/education/master.php,МГИМО
https://nstu.ru/,sveden/education/,НГТУ
https://www.muctr.ru/,sveden/education/,РХТУ Менделеева
https://www.smtu.ru/,sveden/education/,СПБГМТУ
https://etu.ru/,sveden/education/eduAccred/,ЛЭТИ
https://www.sevsu.ru/,sveden/education/,СевГУ
https://tusur.ru/,sveden/education/eduAccred,ТУСУР
https://bashedu.ru/,sveden/education/eduAccred/,БашГУ
https://www.omgtu.ru/,sveden/education/,ОмГТУ
https://www.sfu-kras.ru/,sveden/education/eduAccred,СФУ
https://rusoil.net/,sveden/education,УГНТУ
https://nstu.ru/,sveden/education/,НГТУ
https://www.istu.edu/,sveden/education/akred_spec,ИРНИТУ
https://www.istu.edu/,sveden/education/akred_bak,ИРНИТУ
https://www.istu.edu/,sveden/education/akred_mag,ИРНИТУ
https://ssmu.ru/,sveden/education/,СибГМУ Минздрава
http://new.stgau.ru/,sveden/education/eduAccred,Ставропольский ГАУ
https://www.kstu.ru/,sveden/education/,КНИТУ
https://mpei.ru/,sveden/education/Pages/default.aspx,МЭИ
https://www.mirea.ru/,sveden/education/,РТУ МИРЭА
https://mgsu.ru/,sveden/education/,НИУ МГСУ
https://www.miet.ru/,sveden/education/eduAccred,НИУ МИЭТ
https://sutd.ru/,sveden/education/,СПбГУПТД
https://www.rea.ru/,sveden/education/,РЭУ Плеханова
https://kai.ru/,sveden/education/,КНИТУ-КАИ
http://www.psu.ru/,sveden/education/eduAccred/,ПГНИУ
https://ssau.ru/,sveden/education,Самарский универ
https://www.npi-tu.ru/,sveden/education/eduAccred/,ЮРГПУ(НПИ)
https://old.mospolytech.ru/,index.php?id=3124,Московский Политех
https://www.asu.ru/,sveden/education/,АлтГУ
https://asu.edu.ru/,sveden/education/,Астрахань ГУ
https://www.vstu.ru/,sveden/education/,ВолгГТУ
https://www.bstu.ru/,sveden/education,БГТУ им. В.Г. Шухова
https://donstu.ru/,sveden/education/eduAccred/,ДГТУ
https://kbsu.ru/,sveden/education/,КБГУ
https://kemsu.ru/,sveden/education/,КемГУ
https://mrsu.ru/,sveden/education/,МГУ им. Н.П. Огарёва
https://www.novsu.ru/,sveden/education/,НовГУ
http://oreluniver.ru/,sveden/education/eduaccred,ОГУ Тургенева
https://www.s-vfu.ru/,,СВФУ
https://www.ncfu.ru/,sveden/education/,СКФУ
https://www.sibsau.ru/,sveden/education/,СибГУ Решетнева
https://www.tltsu.ru/,sveden/education/,Тольятти ГУ
https://msal.ru/,sveden/education/,МГЮА
https://kgeu.ru/,sveden/education/,КГЭУ
https://stankin.ru/,,СТАНКИН
https://www.chesu.ru/,sveden/education/eduAccred/,Чеченский ГУ имени А.А. Кадырова
https://marsu.ru/,sveden/education/eduAccred.php,Марийский ГУ
https://pnu.edu.ru/,sveden/education/,ТОГУ
https://udsu.ru/,sveden/education/,УдГУ
https://sgau.ru/,sveden/education/eduAccred/,Саратовский ГАУ Вавилова
https://www.uniyar.ac.ru/,,ЯрГУ
https://www.adygnet.ru/,sveden/education/,Адыгейский ГУ
https://new.vyatsu.ru/,admission/admission_special/?on_site_level=%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82&on_site_form_ob=%D0%9E%D1%87%D0%BD%D0%B0%D1%8F,ВятГУ
https://new.vyatsu.ru/,admission/admission_special/?on_site_level=%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%2F%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82&on_site_form_ob=%D0%97%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F&other=,ВятГУ
https://new.vyatsu.ru/,admission/admission_special/?on_site_level=%D0%9C%D0%B0%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0&on_site_form_ob=%D0%9E%D1%87%D0%BD%D0%B0%D1%8F&other=,ВятГУ
https://www.mgpu.ru/,vo-new/,МГПУ
http://www.osu.ru/,doc/4642,Оренбург ГУ
https://pskgu.ru/,,ПсковГУ
https://www.ulsu.ru/,ru/sveden/education/,УлГУ
http://www.ursmu.ru/,,УГГУ
https://tsutmb.ru/,sveden/education/,ТГУ имени Г.Р. Державина
https://www.pgups.ru/,sveden/education/,ПГУПС
http://smolgmu.ru/,sveden/education/,СГМУ Минздрава России
https://www.tyumsmu.ru/,sveden/education/,Тюменский ГМУ Минздрава России
https://swsu.ru/,sveden/education/eduAccred/,ЮЗГУ
