level,block_title,group_number,group_title,program_number,program_title
Магистратура,Искусство и культура,50.00.00,Искусствознание,50.04.01,Искусства и гуманитарные науки
Магистратура,Искусство и культура,50.00.00,Искусствознание,50.04.02,Изящные искусства
Магистратура,Искусство и культура,50.00.00,Искусствознание,50.04.03,История искусств
Магистратура,Искусство и культура,50.00.00,Искусствознание,50.04.04,Теория и история искусств
Магистратура,Искусство и культура,51.00.00,Культуроведение и социокультурные проекты,51.04.01,Культурология
Магистратура,Искусство и культура,51.00.00,Культуроведение и социокультурные проекты,51.04.02,Народная художественная культура
Магистратура,Искусство и культура,51.00.00,Культуроведение и социокультурные проекты,51.04.03,Социально-культурная деятельность
Магистратура,Искусство и культура,51.00.00,Культуроведение и социокультурные проекты,51.04.04,Музеология и охрана объектов культурного и природного наследия
Магистратура,Искусство и культура,51.00.00,Культуроведение и социокультурные проекты,51.04.05,Режиссура театрализованных представлений и праздников
Магистратура,Искусство и культура,51.00.00,Культуроведение и социокультурные проекты,51.04.06,Библиотечно-информационная деятельность
Магистратура,Искусство и культура,52.00.00,Сценические искусства и литературное творчество,52.04.01,Хореографическое искусство
Магистратура,Искусство и культура,52.00.00,Сценические искусства и литературное творчество,52.04.02,Драматургия
Магистратура,Искусство и культура,52.00.00,Сценические искусства и литературное творчество,52.04.03,Театральное искусство
Магистратура,Искусство и культура,53.00.00,Музыкальное искусство,53.04.01,Музыкально-инструментальное искусство
Магистратура,Искусство и культура,53.00.00,Музыкальное искусство,53.04.02,Вокальное искусство
