level,block_title,group_number,group_title,program_number,program_title
Специалитет,Науки об обществе,40.00.00,Юриспруденция,40.05.04,Судебная и прокурорская деятельность
Специалитет,Образование и педагогические науки,44.00.00,Образование и педагогические науки,44.05.01,Педагогика и психология девиантного поведения
Специалитет,Гуманитарные науки,45.00.00,Языкознание и литературоведение,45.05.01,Перевод и переводоведение
Специалитет,Искусство и культура,51.00.00,Культуроведение и социокультурные проекты,51.05.01,Звукорежиссура культурно-массовых представлений и концертных программ
Специалитет,Искусство и культура,52.00.00,Сценические искусства и литературное творчество,52.05.01,Актерское искусство
Специалитет,Искусство и культура,52.00.00,Сценические искусства и литературное творчество,52.05.02,Режиссура театра
Специалитет,Искусство и культура,52.00.00,Сценические искусства и литературное творчество,52.05.03,Сценография
Специалитет,Искусство и культура,52.00.00,Сценические искусства и литературное творчество,52.05.04,Литературное творчество
Специалитет,Искусство и культура,52.00.00,Сценические искусства и литературное творчество,52.05.05,Актерское искусство в музыкальном театре
Специалитет,Искусство и культура,53.00.00,Музыкальное искусство,53.05.01,Искусство концертного исполнительства
Специалитет,Искусство и культура,53.00.00,Музыкальное искусство,53.05.02,Художественное руководство оперно-симфоническим оркестром и академическим хором
Специалитет,Искусство и культура,53.00.00,Музыкальное искусство,53.05.03,Музыкальная звукорежиссура
Специалитет,Искусство и культура,53.00.00,Музыкальное искусство,53.05.04,Музыкально-театральное искусство
Специалитет,Искусство и культура,53.00.00,Музыкальное искусство,53.05.05,Музыковедение
Специалитет,Искусство и культура,53.00.00,Музыкальное искусство,53.05.06,Композиция
Специалитет,Искусство и культура,53.00.00,Музыкальное искусство,53.05.07,Дирижирование военным духовым оркестром
Специалитет,Искусство и культура,54.00.00,Изобразительное и прикладные виды искусств,54.05.01,Монументально-декоративное искусство
Специалитет,Искусство и культура,54.00.00,Изобразительное и прикладные виды искусств,54.05.02,Живопись
Специалитет,Искусство и культура,54.00.00,Изобразительное и прикладные виды искусств,54.05.03,Графика
Специалитет,Искусство и культура,54.00.00,Изобразительное и прикладные виды искусств,54.05.04,Скульптура
Специалитет,Искусство и культура,54.00.00,Изобразительное и прикладные виды искусств,54.05.05,Живопись и изящные искусства
Специалитет,Искусство и культура,55.00.00,Экранные искусства,55.05.01,Режиссура кино и телевидения
Специалитет,Искусство и культура,55.00.00,Экранные искусства,55.05.02,Звукорежиссура аудиовизуальных искусств
Специалитет,Искусство и культура,55.00.00,Экранные искусства,55.05.03,Кинооператорство
Специалитет,Искусство и культура,55.00.00,Экранные искусства,55.05.04,Продюсерство
Специалитет,Искусство и культура,55.00.00,Экранные искусства,55.05.05,Киноведение
