id,site,path,name,isCandidate,is_download,is_manually
54,https://mephi.ru/,obrdeyat/obrazovatelnye-programmy/graduate/spisok/viti,НИЯУ МИФИ,False,True,False
55,https://mephi.ru/,obrdeyat/obrazovatelnye-programmy/graduate/spisok/diti,НИЯУ МИФИ,False,True,False
56,https://mephi.ru/,obrdeyat/obrazovatelnye-programmy/graduate/spisok/iate,НИЯУ МИФИ,False,True,False
57,https://mephi.ru/,obrdeyat/obrazovatelnye-programmy/graduate/spisok/sarfti,НИЯУ МИФИ,False,True,False
58,https://mephi.ru/,obrdeyat/obrazovatelnye-programmy/graduate/spisok/sfti,НИЯУ МИФИ,False,True,False
59,http://www.unn.ru/,sveden/education/edu-accred.php,ННГУ,False,True,False
60,https://misis.ru/,sveden/education/eduaccred/,МИСиС,False,False,True
61,https://mpei.ru/,sveden/education/Pages/default.aspx,МЭИ,False,True,False
62,https://www.novsu.ru/,sveden/education/,НовГУ,False,True,False
63,https://www.nntu.ru/,sveden/education/,НГТУ (Новосибирск),False,True,False
64,https://www.nsu.ru/,n/sveden/education/,НГУ,False,True,False
65,https://www.omgtu.ru/,sveden/education/,ОмГТУ,False,False,True
66,http://www.osu.ru/,doc/4642,ОГУ,False,False,True
67,http://oreluniver.ru/,sveden/education/eduaccred,ФГБОУ ВО «ОГУ им. И.С. Тургенева»,False,False,True
68,http://www.psu.ru/,sveden/education/eduAccred/,ПГНИУ,False,False,True
69,https://www.pskgu.ru/,sveden/education/?action=eduAccred,ПсковГУ,False,True,False
70,https://gnesin-academy.ru/,sveden/education/eduop,РАМ имени Гнесиных,False,False,True
71,https://www.gubkin.ru/,sveden/education/,Губкинский университет,False,False,False
72,https://www.ranepa.ru/,sveden/education/,РАНХиГС,False,True,False
73,http://www.gitis.net/,about/svedeniya-ob-obrazovatelnoy-organizatsii/obrazovanie/,ГИТИС,False,False,True
74,https://www.rudn.ru/,sveden/education,РУДН,False,True,False
75,https://www.mirea.ru/,sveden/education/,РТУ МИРЭА,False,True,False
76,http://www.muctr.ru/,sveden/education/,РХТУ им. Д.И. Менделеева,False,False,True
77,https://ssau.ru/,sveden/education,Самарский университет,False,True,False
78,https://www.smtu.ru/,sveden/education/,СПБГМТУ,False,True,False
79,https://guap.ru/,sveden/education/tab1,ГУАП,False,True,False
