,site,path,name,is_download
88,https://www.tltsu.ru/,sveden/education/,Тольятти ГУ,True
89,https://msal.ru/,sveden/education/,МГЮА,False
90,https://kgeu.ru/,sveden/education/,КГЭУ,True
91,https://stankin.ru/,,СТАНКИН,False
92,https://www.chesu.ru/,sveden/education/eduAccred/,Чеченский ГУ имени А.А. Кадырова,True
93,https://marsu.ru/,sveden/education/eduAccred.php,Марийский ГУ,True
94,https://pnu.edu.ru/,sveden/education/,ТОГУ,False
95,https://udsu.ru/,sveden/education/,УдГУ,True
96,https://sgau.ru/,sveden/education/eduAccred/,Саратовский ГАУ Вавилова,True
97,https://www.uniyar.ac.ru/,,ЯрГУ,False
98,https://www.adygnet.ru/,sveden/education/,Адыгейский ГУ,True
99,https://new.vyatsu.ru/,admission/admission_special/?on_site_level=%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82&on_site_form_ob=%D0%9E%D1%87%D0%BD%D0%B0%D1%8F,ВятГУ,True
100,https://new.vyatsu.ru/,admission/admission_special/?on_site_level=%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%2F%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82&on_site_form_ob=%D0%97%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F&other=,ВятГУ,True
101,https://new.vyatsu.ru/,admission/admission_special/?on_site_level=%D0%9C%D0%B0%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0&on_site_form_ob=%D0%9E%D1%87%D0%BD%D0%B0%D1%8F&other=,ВятГУ,True
102,https://www.mgpu.ru/,vo-new/,МГПУ,True
103,http://www.osu.ru/,doc/4642,Оренбург ГУ,False
104,https://pskgu.ru/,,ПсковГУ,False
105,https://www.ulsu.ru/,ru/sveden/education/,УлГУ,True
106,http://www.ursmu.ru/,,УГГУ,False
107,https://tsutmb.ru/,sveden/education/,ТГУ имени Г.Р. Державина,True
108,https://www.pgups.ru/,sveden/education/,ПГУПС,True
109,http://smolgmu.ru/,sveden/education/,СГМУ Минздрава России,True
110,https://www.tyumsmu.ru/,sveden/education/,Тюменский ГМУ Минздрава России,True
111,https://swsu.ru/,sveden/education/eduAccred/,ЮЗГУ,True
