Название университета,Регион,Субъект РФ,Город,Ведомство,Базовая часть,Спец. часть,Кандидат,Сайт,Ректор,Создание научно-образовательных центров  (ПП РФ №537),"Создание Научно-образовательных математических центров"" (Региональных математических центров)",Создание научных центров мирового уровня  (ПП РФ №538) по приоритетам научно-технологического развития РФ,Создание научных центров мирового уровня  (ПП РФ №538) - геномные исследования,Создание научных центров мирового уровня  (ПП РФ №538) - математические центры,"Программа повышения конкурентоспособности ведущих университетов среди среди ведущих мировых научно-образовательных центров (Проект ""5-100"")  (ПП РФ №211)","Программа ""Карбоновые полигоны""","Программа ""Стартап как диплом""",Развитие опорных университетов  (ПП РФ №811),"Присвоение категории ""Национальный исследовательский университет"" (ПП РФ №550)",Создание федеральных университетов (ПП РФ №716),Научно-исследовательская политика / Удельный вес финансового обеспечения университета от НИОКР в общих доходах университета за последний отчетный период,Научно-исследовательская политика / Общее число публикаций за период 2016-2020 (Scopus),Научно-исследовательская политика / Общее число цитирований за период 2016-2020 (Scopus),Научно-исследовательская политика / Число публикаций отнесенных к QI и QII (Scopus),Научно-исследовательская политика / Число публикаций типов «Article» и «Review» (Scopus),Образовательная политика / Численность обучающихся (очно) / Бюджет,Образовательная политика / Численность обучающихся (очно) / Контракт,Образовательная политика / Доля иностранных обучающихся (очно) / Иностранные граждане,Образовательная политика / Доля иностранных обучающихся (очно) / Граждане РФ,Образовательная политика / Средний балл ЕГЭ / Средний балл ЕГЭ – студенты (Бюджет),Образовательная политика / Средний балл ЕГЭ /  Средний балл ЕГЭ – студенты (Контракт),Образовательная политика / Численность обучающихся по уровням образования (очно) / Бакалавриат,Образовательная политика / Численность обучающихся по уровням образования (очно) / Специалитет,Образовательная политика / Численность обучающихся по уровням образования (очно) / Магистратура,Образовательная политика / Численность обучающихся по уровням образования (очно) / Кадры высшей квалификации,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Бакалавриат,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Специалитет,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Кадры высшей квалификации ,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Магистратура,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Сельскохозяйственные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Искусство и культура,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Образование и педагогические науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Инженерные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Здравоохранение и медицинские науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Гуманитарные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Математические и естественные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Науки об обществе,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Доктора наук,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Кандидаты наук,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Без степени,Образовательная политика / Профессорско-преподавательский состав / Иностранные граждане,Образовательная политика / Профессорско-преподавательский состав / Граждане РФ,Качество системы управления / Бюджет университета / Федеральный бюджет,Качество системы управления / Бюджет университета / Бюджет субъекта РФ,Качество системы управления / Бюджет университета / Местный бюджет и внебюджетные средства,Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Бюджетное финансирование,"Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Внебюджетные доходы, связанные с выполнением НИР и ОКР, а также оказания услуг",Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Внебюджетные доходы от образовательной деятельности (внебюджетные),Качество системы управления / Численность работников университета по категориям персонала / НР и инженерно-технический персонал,Качество системы управления / Численность работников университета по категориям персонала / ППС,"Качество системы управления / Численность работников университета по категориям персонала / Административно-хозяйственный, производственный и прочий персонал",Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / QS,Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / THE,Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / ARWU
ВолгГТУ,Южный,Волгоградская область,Волгоград,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.vstu.ru,Навроцкий Александр Валентинович,True,False,False,False,False,False,False,True,True,False,False,25.5,2172.0,5172.0,64.78,245.9,81.01,18.99,11.62,88.38,64.16,56.68,74.76,8.2,13.67,3.37,92.0,0.99,0.55,6.47,0.0,0.11,0.0,88.67,0.0,0.0,0.91,10.3,17.03,61.72,21.25,0.0,100.0,59.16,0.39,40.45,59.99,21.53,18.47,3.51,37.84,58.66,,1001,
Всероссийский государственный институт кинематографии имени С.А.Герасимова,Центральный,Москва,Москва,Министерство культуры Российской Федерации,True,,False,http://www.vgik.info,Малышев Владимир Сергеевич,False,False,False,False,False,False,False,False,False,False,False,3.0,7.0,5.0,1.0,9.5,66.32,33.68,3.82,96.18,81.78,71.47,5.41,88.69,1.83,4.06,4.17,85.42,4.17,6.25,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,17.43,74.77,0.0,100.0,80.15,0.0,19.85,73.89,0.0,26.11,4.54,38.05,57.42,,,
НИУ ВШЭ,Центральный,Москва,Москва,Правительство Российской Федерации,True,Исследовательское лидерство,False,http://www.hse.ru/,Анисимов Никита Юрьевич,False,False,True,False,False,True,False,True,False,True,False,24.1,13430.0,91712.0,1343.083,3538.62,41.93,58.07,6.0,94.0,96.09,84.24,71.48,1.12,24.39,3.01,60.4,0.35,2.26,36.99,0.0,10.3,0.28,9.12,0.0,10.06,9.85,60.39,16.74,41.16,42.1,4.42,95.58,52.67,0.0,47.33,52.66,10.66,36.67,33.66,28.04,38.31,305,301,601
ВятГУ,Приволжский,Кировская область,Киров,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.vyatsu.ru,Пугач Валентин Николаевич,False,False,False,False,False,False,False,False,True,False,False,5.5,1218.0,3546.0,63.093,330.478,68.62,31.38,2.5,97.5,68.64,61.67,72.92,14.61,11.01,1.46,78.23,2.42,0.81,18.55,0.61,0.9,13.48,34.59,0.0,8.23,8.38,33.82,10.15,67.61,22.24,0.15,99.85,67.31,0.29,32.4,68.61,4.68,26.72,7.63,44.46,47.91,,,
СПГУ,Северо-Западный,Санкт-Петербург,Санкт-Петербург,Министерство науки и высшего образования Российской Федерации,True,Не претендует,False,http://spmi.ru,Литвиненко Владимир Стефанович,False,False,False,False,False,False,False,True,False,True,False,36.2,3138.0,11926.0,210.976,583.611,88.51,11.49,3.93,96.07,79.44,70.33,46.63,41.38,8.11,3.88,48.48,39.09,1.52,10.91,0.0,0.0,0.0,94.5,0.0,0.0,1.64,3.87,16.85,76.4,6.74,11.4,88.6,47.7,0.0,52.3,59.85,34.35,5.8,11.7,34.53,53.77,1001,401,
ДВФУ,Дальневосточный,Приморский край,Владивосток,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://dvfu.ru/,Коробец Борис Николаевич,True,True,False,False,False,True,False,True,False,False,True,12.8,4515.0,21672.0,273.833,613.362,70.92,29.08,6.92,93.08,74.48,65.45,60.64,16.28,20.22,2.85,44.78,43.87,2.45,8.9,0.18,1.5,1.75,36.45,8.39,8.64,9.47,33.61,7.6,41.68,50.72,1.0,99.0,64.77,0.18,35.05,63.26,6.83,29.91,7.32,28.86,63.83,461,1201,
ДГТУ,Южный,Ростовская область,Ростов-На-Дону,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.donstu.ru,Месхи Бесик Чохоевич,True,False,False,False,False,False,False,True,True,False,False,6.0,3192.0,8545.0,97.964,228.931,72.21,27.79,6.55,93.45,61.35,62.11,73.48,13.48,11.9,1.14,71.5,2.52,2.17,23.81,2.95,1.15,1.23,69.04,0.0,6.14,2.04,17.44,9.58,49.76,40.66,0.12,99.88,72.74,0.0,27.26,73.2,3.18,23.63,13.8,49.46,36.73,1201,501,
КБГУ,Северо-Кавказский,Кабардино-Балкарская Республика,Нальчик,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.kbsu.ru,Альтудов Юрий Камбулатович,False,False,False,False,False,False,False,False,False,False,False,5.1,870.0,1303.0,53.378,211.193,48.51,51.49,15.49,84.51,65.82,64.13,40.97,43.08,10.3,5.65,7.3,90.08,1.49,1.13,0.0,0.2,3.66,15.22,43.75,7.35,10.16,19.65,18.23,59.21,22.56,0.0,100.0,49.37,0.0,50.63,49.53,4.61,45.85,10.42,35.42,54.16,,,
КНИТУ-КАИ,Приволжский,Республика Татарстан,Казань,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.kai.ru,Алибаев Тимур Лазович,True,False,False,False,False,False,False,False,False,True,False,25.1,2079.0,6617.0,135.794,383.58,81.29,18.71,10.17,89.83,76.69,61.52,69.23,10.0,16.78,3.99,85.81,4.96,1.24,7.99,0.0,0.0,0.0,90.64,0.0,0.0,2.06,7.3,17.54,54.07,28.39,0.16,99.84,68.87,0.0,31.13,69.11,15.37,15.51,12.07,36.73,51.2,,1201,
КФУ,Приволжский,Республика Татарстан,Казань,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.kpfu.ru,Таюрский  Дмитрий  Альбертович,False,True,True,False,False,True,False,False,False,False,True,22.2,14011.0,74509.0,1061.285,2490.15,38.89,61.11,17.94,82.06,80.67,70.09,73.35,11.04,11.7,3.92,69.26,16.03,2.52,12.19,0.0,0.74,15.37,12.47,6.58,13.85,16.85,34.14,17.17,57.38,25.45,1.81,98.19,44.54,1.62,53.84,55.59,5.5,38.91,23.09,38.04,38.88,347,801,NaN
КемГУ,Сибирский,Кемеровская область,Кемерово,Министерство науки и высшего образования Российской Федерации,True,,False,www.kemsu.ru,Просеков Александр Юрьевич,True,False,False,False,False,False,False,True,True,False,False,17.3,1056.0,2253.0,69.447,274.657,72.19,27.81,11.63,88.37,68.68,63.72,74.93,8.73,15.23,1.12,86.77,5.62,0.11,7.5,0.49,0.0,11.54,23.91,0.07,10.19,20.24,33.56,20.04,62.09,17.87,0.18,99.82,78.61,0.66,20.73,75.7,6.94,17.36,8.26,49.73,42.01,,,
ФГАОУ ВО «КФУ им. В.И. Вернадского»,Южный,Республика Крым,Симферополь,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.cfuv.ru,Фалалеев Андрей Павлович,True,False,False,False,False,False,False,True,False,False,True,10.2,1491.0,3780.0,87.599,453.026,77.87,22.13,8.98,91.02,66.41,57.71,49.36,32.67,12.31,5.66,11.17,82.57,2.76,3.5,7.93,1.51,0.0,16.08,29.93,11.71,9.68,23.15,13.61,74.97,11.42,0.29,99.71,73.33,4.27,22.4,75.82,1.46,22.72,2.52,41.56,55.92,,,
Кубанский государственный медицинский университет,Южный,Краснодарский край,Краснодар,Министерство здравоохранения Российской Федерации,False,,True,http://www.ksma.ru/,Алексеенко Сергей Николаевич,False,False,False,False,False,False,False,False,False,False,False,2.9,557.0,915.0,6.249,187.659,39.94,60.06,6.3,93.7,85.32,67.48,0.0,80.59,0.0,19.41,0.0,82.56,17.44,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.7,58.15,21.15,0.0,100.0,54.66,0.0,45.34,55.06,2.6,42.34,2.75,48.09,49.15,,,
МГИМО,Центральный,Москва,Москва,Министерство иностранных дел Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.mgimo.ru,Торкунов Анатолий Васильевич,False,False,True,False,False,False,False,False,False,False,False,5.5,1363.0,3204.0,149.634,478.245,33.94,66.06,7.51,92.49,97.98,85.18,69.15,0.0,28.6,2.25,74.82,0.0,2.29,22.89,0.0,0.0,0.26,0.0,0.0,0.56,1.43,97.75,12.54,38.46,49.0,0.84,99.16,35.94,0.0,64.06,32.31,5.31,62.38,5.96,62.49,31.56,362,,
МГТУ им. Н.Э. Баумана,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://www.bmstu.ru,Гордин Михаил Валерьевич,True,False,False,False,False,False,False,False,False,True,False,28.8,6973.0,21264.0,427.792,1056.643,80.84,19.16,3.21,96.79,84.11,69.81,45.26,41.63,10.23,2.88,41.33,7.49,11.93,39.25,0.0,0.61,0.0,88.86,0.0,0.86,4.89,4.78,15.67,48.4,35.93,0.76,99.24,80.78,0.23,18.99,83.15,8.92,7.93,14.42,34.03,51.55,281,801,
МАИ,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.mai.ru,Погосян Михаил Асланович,False,False,True,False,False,False,False,False,False,True,False,22.1,3349.0,10259.0,366.383,852.52,79.08,20.92,7.21,92.79,78.39,71.74,54.81,28.67,13.47,3.05,64.75,6.32,3.16,25.77,0.0,0.0,0.0,80.97,0.0,2.01,8.27,8.75,14.34,54.1,31.56,1.13,98.87,69.96,0.74,29.29,72.41,16.31,11.28,15.72,42.42,41.86,,1201,
ГАОУ ВО МГПУ,Центральный,Москва,Москва,Департамент образования и науки города Москвы,True,,False,http://www.mgpu.ru,Реморенко Игорь Михайлович,False,False,False,False,False,False,False,False,False,False,False,20.1,464.0,811.0,23.768,115.651,71.08,28.92,4.28,95.72,86.09,72.37,70.3,0.75,26.03,2.91,84.12,0.47,4.74,10.66,0.0,4.41,60.61,0.76,0.0,19.28,0.0,14.93,13.93,37.92,48.15,0.64,99.36,3.63,71.13,25.24,69.18,2.41,28.42,4.68,56.48,38.84,1201,,
МИИГАиК,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,False,,True,http://www.miigaik.ru,Камынина Надежда Ростиславовна,False,False,False,False,False,False,False,False,False,False,False,10.1,618.0,245.0,210.859,47.071,72.37,27.63,0.86,99.14,74.93,59.39,66.79,20.27,11.03,1.91,14.89,8.51,12.77,63.83,0.0,0.0,0.0,84.27,0.0,0.0,15.73,0.0,12.46,44.64,42.91,0.0,100.0,69.04,0.0,30.96,68.71,8.24,23.05,20.19,56.12,23.69,,,
МГУПП,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,False,,True,http://www.mgupp.ru,БАЛЫХИН МИХАИЛ ГРИГОРЬЕВИЧ,False,False,False,False,False,False,False,True,False,False,False,16.7,309.0,875.0,7.509,44.431,72.67,27.33,11.16,88.84,76.03,64.92,70.9,7.66,11.66,9.78,85.04,2.61,5.46,6.89,16.91,0.0,0.0,74.5,0.0,0.0,1.97,6.62,35.1,39.59,25.31,1.22,98.78,59.79,0.0,40.21,62.13,15.78,22.08,1.56,63.8,34.64,,,
МПГУ,Центральный,Москва,Москва,Министерство просвещения Российской Федерации,False,,True,http://www.mpgu.su,Лубков Алексей Владимирович,False,False,False,False,False,False,False,False,False,False,False,4.3,1203.0,3679.0,68.089,299.828,56.46,43.54,8.57,91.43,81.4,67.58,79.93,0.0,17.56,2.52,94.13,0.0,5.87,0.0,0.0,0.99,74.41,1.32,0.0,9.18,3.62,10.48,18.76,49.34,31.91,0.66,99.34,63.6,1.07,35.32,61.39,0.22,38.39,3.22,60.01,36.77,1201,,
Московский Политех,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,,False,https://new.mospolytech.ru/,МИКЛУШЕВСКИЙ ВЛАДИМИР ВЛАДИМИРОВИЧ,False,False,False,False,False,False,False,False,False,False,False,5.9,1319.0,3247.0,67.806,227.423,78.81,21.19,12.58,87.42,72.48,65.08,68.51,13.61,15.6,2.28,70.03,4.84,0.62,24.51,0.0,8.86,0.0,75.12,0.0,0.0,2.66,13.37,13.7,51.27,35.03,0.36,99.64,76.94,0.74,22.32,76.87,2.89,20.24,8.92,50.77,40.31,,1201,
МФТИ,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://mipt.ru/,Ливанов Дмитрий Викторович,False,False,False,True,False,True,False,True,False,True,False,48.9,11752.0,121267.0,812.924,1365.354,83.84,16.16,3.87,96.13,98.48,88.39,59.58,0.86,29.33,10.22,37.09,0.0,12.73,50.18,0.0,0.0,0.0,13.02,0.0,0.0,86.98,0.0,13.88,41.02,45.1,3.27,96.73,60.65,0.0,39.35,64.45,32.32,3.22,35.48,20.01,44.51,290,201,501
МГУ им. Н.П. Огарёва,Приволжский,Республика Мордовия,Саранск,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.mrsu.ru/,ГЛУШКО ДМИТРИЙ ЕВГЕНЬЕВИЧ,True,False,False,False,False,False,False,False,False,True,False,10.4,1410.0,3675.0,101.75,361.931,58.51,41.49,15.58,84.42,66.74,61.84,43.23,41.47,8.09,7.2,26.41,67.23,4.18,2.17,7.21,1.18,0.55,21.85,32.15,6.45,11.1,19.52,17.18,68.52,14.3,1.02,98.98,61.85,0.02,38.13,62.54,6.22,31.24,10.32,44.63,45.05,,,
НИУ МИЭТ,Центральный,Москва,Зеленоград,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.miet.ru,Беспалов Владимир Александрович,False,False,False,False,False,False,False,False,False,True,False,41.8,1726.0,3868.0,61.428,175.615,81.96,18.04,5.03,94.97,80.79,64.93,77.84,0.68,17.59,3.9,49.33,0.9,9.87,39.91,0.0,2.0,0.0,82.2,0.0,5.0,2.98,7.82,17.6,50.93,31.47,0.27,99.73,49.86,0.63,49.51,52.81,39.65,7.54,36.23,26.08,37.69,,1201,
НИЯУ МИФИ,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://www.mephi.ru,Шевченко Владимир Игоревич,True,False,False,False,False,True,False,False,False,True,False,45.1,12012.0,107991.0,565.58,1251.358,76.58,23.42,12.31,87.69,97.3,77.64,43.92,22.49,23.34,10.24,32.13,13.17,4.7,50.0,0.0,0.0,0.0,71.23,1.4,0.0,12.94,14.43,19.31,51.89,28.81,3.32,96.68,58.81,0.0,41.19,64.08,30.46,5.45,39.78,26.62,33.6,319,401,701
ННГУ,Приволжский,Нижегородская область,Нижний Новгород,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://www.unn.ru,Загайнова Елена Вадимовна,True,True,True,False,False,True,False,True,False,True,False,35.3,5072.0,24657.0,443.447,1099.051,50.22,49.78,9.05,90.95,78.62,64.57,56.65,29.56,10.24,3.55,37.18,53.05,1.42,8.35,0.0,0.01,0.0,12.9,7.35,7.26,23.24,49.24,18.98,58.58,22.45,0.46,99.54,40.74,0.0,59.26,34.75,32.57,32.69,18.17,39.2,42.63,651,1201,
МИСиС,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://www.misis.ru,Черникова Алевтина Анатольевна,True,False,False,False,False,True,False,True,False,True,False,38.3,7741.0,57795.0,756.689,1702.082,61.59,38.41,15.84,84.16,89,69.57,56.59,15.55,21.78,6.08,28.13,32.61,4.71,34.54,0.0,0.0,0.0,70.32,0.0,9.79,6.5,13.39,19.64,50.17,30.2,1.32,98.68,56.29,0.36,43.35,51.56,35.59,12.84,38.78,27.36,33.86,487,601,NaN
МЭИ,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.mpei.ru,Рогалев Николай Дмитриевич,False,False,False,False,False,False,False,False,False,True,False,25.5,3845.0,8367.0,300.292,586.269,76.57,23.43,10.42,89.58,73.85,61.74,75.82,1.45,18.45,4.27,87.97,0.16,2.93,8.94,0.0,0.75,0.0,85.73,0.0,0.44,4.17,8.9,17.04,54.85,28.11,3.23,96.77,63.82,0.25,35.93,66.34,18.79,14.87,25.45,36.35,38.2,1201,1201,
НовГУ,Северо-Западный,Новгородская область,Великий Новгород,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.novsu.ru,Боровиков Юрий Сергеевич,True,False,True,False,False,False,False,False,True,False,False,9.1,677.0,1018.0,17.758,86.351,62.54,37.46,12.69,87.31,68.26,59.42,53.48,38.02,3.83,4.67,11.74,86.63,1.34,0.3,4.64,1.37,14.8,16.74,36.6,7.83,4.92,13.1,19.42,56.03,24.55,0.0,100.0,56.67,0.0,43.33,59.04,8.91,32.05,2.13,41.52,56.35,,,
НГТУ,Сибирский,Новосибирская область,Новосибирск,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,www.nntu.ru,Дмитриев Сергей Михайлович,True,False,False,False,False,False,False,False,True,False,False,28.5,1461.0,4357.0,139.732,297.481,89.21,10.79,3.75,96.25,69.28,61.38,64.36,14.71,17.52,3.41,82.88,0.0,1.8,15.32,0.0,0.0,0.0,94.43,0.0,0.38,3.8,1.39,17.17,56.66,26.16,0.0,100.0,64.76,0.37,34.88,66.33,19.83,13.84,10.24,41.15,48.61,801,1201,
НГУ,Сибирский,Новосибирская область,Новосибирск,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://www.nsu.ru,Федорук Михаил Петрович,False,False,False,False,True,True,True,False,False,True,False,27.0,15141.0,130383.0,961.686,1944.828,63.26,36.74,7.73,92.27,87.68,76.85,70.09,9.88,14.89,5.14,35.92,30.38,7.28,26.42,0.0,0.0,0.0,10.27,7.33,11.15,44.57,26.68,9.94,34.88,55.18,2.75,97.25,78.51,0.0,21.49,76.38,5.38,18.24,21.12,33.86,45.03,246,801,601
ОмГТУ,Сибирский,Омская область,Омск,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.omgtu.ru,Маевский Дмитрий Павлович,False,False,False,False,False,False,False,False,True,False,False,7.0,2070.0,3591.0,62.863,160.374,85.12,14.88,14.46,85.54,63.43,59.47,60.76,20.71,16.55,1.99,68.09,13.22,0.33,18.36,0.0,2.69,0.0,80.36,0.0,0.0,2.38,14.57,9.71,55.61,34.68,0.13,99.87,73.08,0.0,26.92,74.11,6.13,19.76,13.31,44.53,42.17,,1201,
ОГУ,Приволжский,Оренбургская область,Оренбург,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.osu.ru,Мирошников Сергей Александрович,False,False,False,False,False,False,False,True,False,False,False,6.8,911.0,2813.0,39.327,166.637,70.58,29.42,6.82,93.18,68.13,64.3,68.48,17.76,12.55,1.2,82.02,10.28,0.55,7.16,0.83,1.22,0.48,47.12,0.0,6.06,10.8,33.49,14.89,69.93,15.18,0.0,100.0,71.32,0.0,28.68,73.9,5.51,20.59,4.54,50.0,45.46,,,
ФГБОУ ВО «ОГУ им. И.С. Тургенева»,Центральный,Орловская область,Орёл,Министерство науки и высшего образования Российской Федерации,True,,False,http://oreluniver.ru/,ФЕДОТОВ АЛЕКСАНДР АНАТОЛЬЕВИЧ,False,False,False,False,False,False,False,False,True,False,False,5.3,827.0,1929.0,37.501,98.186,62.72,37.28,15.99,84.01,69.9,61.63,48.74,33.11,14.78,3.37,22.2,76.45,0.35,1.0,0.05,1.78,18.37,22.2,26.59,6.2,5.82,18.99,14.87,67.27,17.87,0.0,100.0,71.62,0.0,28.38,73.88,0.2,25.93,8.09,47.52,44.39,,,
ПГНИУ,Приволжский,Пермский край,Пермь,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.psu.ru,Красильников Дмитрий Георгиевич,True,False,False,False,False,False,False,False,False,True,False,18.3,1663.0,4325.0,137.551,472.398,61.89,38.11,5.72,94.28,74.62,64.13,69.97,16.77,11.98,1.28,66.99,27.41,1.74,3.86,0.25,1.15,3.02,6.29,2.16,8.86,38.17,40.09,14.66,55.63,29.71,0.52,99.48,60.86,1.22,37.92,63.03,8.7,28.28,1.04,39.71,59.25,801,1201,
ПсковГУ,Северо-Западный,Псковская область,Псков,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.pskgu.ru,Ильина Наталья Анатольевна,False,False,False,False,False,False,False,False,True,False,False,6.5,182.0,197.0,2.32,25.108,62.53,37.47,13.22,86.78,69.02,60.97,68.38,21.78,8.65,1.2,60.58,29.56,1.13,8.72,0.14,1.11,25.56,22.78,9.87,6.86,3.47,30.21,9.34,57.83,32.83,0.25,99.75,61.78,0.16,38.05,63.42,5.65,30.94,4.7,44.3,51.01,,,
РАМ имени Гнесиных,Центральный,Москва,Москва,Министерство культуры Российской Федерации,True,,False,http://www.gnesin-academy.ru,Рыжинский Александр Сергеевич,False,False,False,False,False,False,False,False,False,False,False,4.1,0.0,0.0,0.0,676.89,73.17,26.83,18.95,81.05,86.88,77.92,57.79,16.82,17.14,8.26,49.25,6.53,20.6,23.62,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,15.02,81.69,0.0,100.0,73.54,0.0,26.46,68.05,0.0,31.95,1.23,74.87,23.9,,,
Губкинский университет,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.gubkin.ru,Мартынов Виктор Георгиевич,False,False,True,False,False,False,False,False,False,True,False,19.0,1641.0,5863.0,153.109,386.256,65.3,34.7,4.65,95.35,83.78,69.49,62.79,14.21,19.34,3.66,53.95,5.53,6.32,34.21,0.0,0.0,0.0,73.56,0.0,0.0,3.52,22.92,20.96,50.12,28.92,0.59,99.41,46.21,0.09,53.7,58.66,14.02,27.32,22.76,43.0,34.24,,1201,
РАНХиГС,Центральный,Москва,Москва,Правительство Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.ranepa.ru/,Мау Владимир Александрович,True,False,True,False,False,False,False,True,False,False,False,19.8,2600.0,5531.0,141.06,676.89,20.44,79.56,1.48,98.52,94.57,71.73,75.17,9.21,13.15,2.47,64.18,7.84,2.24,25.75,0.0,2.0,0.0,2.0,0.0,0.63,0.0,95.38,16.91,42.41,40.69,1.72,98.28,60.79,0.0,39.21,41.56,3.06,55.38,14.57,27.64,57.79,801,1201,
ГИТИС,Центральный,Москва,Москва,Министерство культуры Российской Федерации,True,,False,http://www.gitis.net,Заславский Григорий Анатольевич,False,False,False,False,False,False,False,False,False,False,False,12.7,5.0,9.0,0.0,1.25,56.3,43.7,5.64,94.36,80.91,73.88,14.38,77.44,3.48,4.7,15.0,83.33,1.67,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,29.22,61.69,0.65,99.35,59.08,0.0,40.92,65.2,0.6,34.2,7.1,47.53,45.37,,,
РУДН,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.rudn.ru/,Ястребов Олег Александрович,False,False,False,False,False,True,False,False,False,False,False,9.9,8529.0,38711.0,484.213,1680.805,26.56,73.44,17.29,82.71,84.74,65.64,49.67,28.21,10.95,11.16,36.01,31.63,18.33,14.03,4.36,0.8,0.53,12.79,26.73,10.69,8.73,35.37,16.64,45.0,38.36,9.94,90.06,36.31,0.09,63.6,40.32,4.81,54.87,4.09,44.89,51.02,317,601,
РТУ МИРЭА,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.mirea.ru,Кудж Станислав Алексеевич,True,False,False,False,False,False,False,True,False,False,False,10.8,2991.0,8711.0,209.523,706.802,53.21,46.79,2.4,97.6,81.35,62.35,70.2,18.26,9.64,1.9,81.09,0.0,1.81,17.11,0.0,0.6,0.0,75.76,0.03,0.48,5.73,17.39,14.44,48.72,36.84,0.17,99.83,78.62,0.24,21.14,69.72,3.93,26.36,16.2,47.25,36.55,1201,1201,
РХТУ им. Д.И. Менделеева,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.muctr.ru,Воротынцев Илья Владимирович,True,False,False,False,False,False,False,False,False,False,False,26.4,2511.0,9630.0,194.387,630.054,88.2,11.8,3.11,96.89,80.78,64.81,63.96,16.76,14.76,4.52,53.81,6.09,17.77,22.34,0.0,0.0,0.0,86.53,0.0,0.36,11.85,1.27,20.49,52.75,26.76,0.0,100.0,78.9,0.0,21.1,80.11,12.52,7.37,11.02,37.48,51.49,801,,
